Name	Tax_id	Rank	#Entry
Selaginella moellendorffii	88036	species	34817
Theobroma cacao	3641	species	44265
Citrus clementina	85681	species	34557
Citrus sinensis	2711	species	31414
Eutrema salsugineum	72664	species	29485
Capsella rubella	81985	species	28713
Arabidopsis lyrata subsp. lyrata	81972	subspecies	32549
Arabidopsis thaliana	3702	species	35375
Medicago truncatula	3880	species	46092
Phaseolus vulgaris	3885	species	32803
Glycine max	3847	species	65814
Cicer arietinum	3827	species	31963
Cucumis sativus	3659	species	40537
Cucumis melo	3656	species	30385
Fragaria vesca subsp. vesca	101020	subspecies	23292
Malus domestica	3750	species	57533
Prunus mume	102107	species	28512
Prunus persica	3760	species	29012
Ricinus communis	3988	species	31344
Populus trichocarpa	3694	species	45942
Vitis vinifera	29760	species	23875
Solanum lycopersicum	4081	species	26473
Solanum tuberosum	4113	species	30498
Brachypodium distachyon	15368	species	24686
Oryza brachyantha	4533	species	21605
Oryza sativa Japonica Group	39947	no rank	28555
Zea mays	4577	species	22336
Sorghum bicolor	4558	species	33005
Setaria italica	4555	species	36347
Amborella trichopoda	13333	species	27397
Physcomitrella patens	3218	species	35936
Ostreococcus lucimarinus CCE9901	436017	no rank	7603
Ostreococcus tauri	70448	species	7994
Bathycoccus prasinos	41875	species	7840
Micromonas sp. RCC299	296587	species	10140
Micromonas pusilla CCMP1545	564608	no rank	10269
Coccomyxa subellipsoidea C-169	574566	no rank	9950
Chlorella variabilis	554065	species	9860
Volvox carteri f. nagariensis	3068	forma	14436
Chlamydomonas reinhardtii	3055	species	14489
